Restaurant_ID,Restaurant_name,Cuisines,Address,Locality_verbose,Locality,City,Country_ID,Average_cost_for_two,Price_range,Aggregate_rating,Rating_text,Votes,Delivering_now,Online_delivery,Table_booking,order_menu,Menu_url,Events_url,Longitude,Latitude,Currency
18424971,The Baking Fusion,"Bakery, Desserts","94-A, Arjun Nagar, Safdarjung Enclave, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,400,1,3.1,Average,8,0,0,0,,https://www.zomato.com/ncr/the-baking-fusion-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1985708399,28.56069268,,
305514,Grover Dhaba,North Indian,"B-6, Commercial Market, Opposite Deer Park, DDA Market, Safdarjung Enclave, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,300,1,3.1,Average,16,0,0,0,,https://www.zomato.com/ncr/grover-dhaba-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1969366074,28.55903832,,
18361271,Morong Ki,Naga,"B-106, NCC Gate, Humayunpur, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,400,1,3,Average,7,0,0,0,,https://www.zomato.com/ncr/morong-ki-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,0.0000000000,0,,
18432849,Smokey Flavours,"North Indian, Mughlai","106, Humayun Pur, Safdarjung Enclave, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,500,2,3.3,Average,13,0,0,0,,https://www.zomato.com/ncr/smokey-flavours-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1939681692,28.56178754,,
304107,Cafe Coffee Day,Cafe,"Near Kamal Cinema, Safdarjung Enclave, New Delhi, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,450,1,2.8,Average,16,0,0,0,,https://www.zomato.com/ncr/cafe-coffee-day-1-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1990750000,28.56540556,,
310436,Pooja Take Away Kitchen,"North Indian, Chinese, Fast Food","House 36-A, Safdarjung Enclave, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,400,1,2.7,Average,11,0,0,0,,https://www.zomato.com/ncr/pooja-take-away-kitchen-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1954463050,28.56262917,,
303289,Anupam Sweets,Mithai,"66/C, Humayunpur, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,250,1,2.6,Average,12,0,0,0,,https://www.zomato.com/ncr/anupam-sweets-safdarjung-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1924972222,28.56198611,,
18138427,Sugary Affairs,"Bakery, Desserts","B-3/91, Ground Floor, Safdarjung Enclave, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,600,2,3,Average,6,0,0,0,,https://www.zomato.com/ncr/sugary-affairs-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1943848208,28.56444427,,
18285198,Giani,"Ice Cream, Desserts","AB-15, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,300,1,2.9,Average,9,0,0,0,,https://www.zomato.com/ncr/giani-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1990635991,28.56542249,,
4336,Amritsari Dhaba,"North Indian, Chinese","Shop 1, Opposite Safdarjung Club, Behind Kamal Cinema, Safdarjung Enclave Market, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,500,2,3.2,Average,18,0,0,0,,https://www.zomato.com/ncr/amritsari-dhaba-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1990240000,28.565358,,
